departamento_etl,ciudad_etl,periodo_etl,cont_co,cont_dviento,cont_haire10,cont_haire2,cont_no,cont_no2,cont_o3,cont_p,cont_pliquida,cont_pm10,cont_pm2.5,cont_pst,cont_rglobal,cont_ruvb,cont_so2,cont_taire10,cont_taire2,cont_vviento,periodo_censo_vehiculos,total_vehiculos,clases_distintas,antiguedad_promedio_flota,log_total_vehiculos,mes_numerico
antioquia,girardota,2022-01,178.40629629629632,129.83111731843576,67.33804469273743,,6.611862745098039,14.241703056768559,27.25821100917431,641.53075,0.025439330543933054,31.125,15.584302325581396,,291.73230769230764,,19.10019417475728,20.80579831932773,,1.1216759776536314,2026-04,22146,32,20.905454545454546,10.005457326119846,1
antioquia,girardota,2023-01,297.74028846153846,160.1519117647059,66.29463343108505,,4.646595744680851,12.198428571428572,31.46691588785047,641.3067256637169,0.03066079295154185,27.152380952380952,9.693548387096774,,311.025,,16.47,20.750852941176472,,0.9814369501466276,2026-04,22146,32,20.905454545454546,10.005457326119846,1
antioquia,girardota,2024-01,330.67894736842106,161.34273182957392,,67.77255,8.804017094017093,11.207379032258064,23.812529182879377,641.1301492537314,0.0,27.24770642201835,11.734848484848484,,94.20076923076924,,,,22.376516290726816,0.9635572139303483,2026-04,22146,32,20.905454545454546,10.005457326119846,1
antioquia,guarne,2022-01,,159.7689075630252,67.3781512605042,,,,,,0.08666666666666666,26.1,20.0,,,,,16.075833333333332,,0.59,2026-04,1328,13,15.19,7.192182058713246,1
antioquia,guarne,2023-01,,160.28761061946904,84.44736842105263,,,,,591.3951327433628,0.20464912280701753,18.3,9.2,,,,,15.830088495575222,,0.8530973451327434,2026-04,1328,13,15.19,7.192182058713246,1
antioquia,itagui,2020-01,,220.36995073891626,66.45678217821782,,7.779798657718121,29.62191616766467,33.456918604651165,627.0668238213399,0.021428571428571425,29.78091603053435,16.8479381443299,,158.79561576354678,,,20.814826732673268,,1.1625935162094763,2026-04,190756,45,29.545769764216367,12.158755645721083,1
antioquia,itagui,2021-01,,195.68868613138685,72.77967153284672,,9.069682539682539,23.561621621621622,23.60724489795918,625.8594464944649,0.023065693430656935,29.788365758754864,16.365671641791046,,119.84883211678833,,,20.291131386861316,,0.9302573529411765,2026-04,190756,45,29.545769764216367,12.158755645721083,1
antioquia,itagui,2022-01,,196.8434309623431,73.16430434782609,,10.077920792079208,22.901057692307692,17.014102564102565,625.6922943722944,0.051176470588235295,37.00853881278539,20.766233766233768,,99.00025423728815,,,20.547857142857143,,0.8340336134453782,2026-04,190756,45,29.545769764216367,12.158755645721083,1
antioquia,itagui,2023-01,,187.9141037735849,78.44324444444445,,25.903783783783787,27.05271739130435,25.181340206185567,626.9504109589042,0.11705357142857144,36.094426229508194,18.157635467980295,,66.06079646017699,,,19.080407239819007,,0.7281218274111675,2026-04,190756,45,29.545769764216367,12.158755645721083,1
antioquia,itagui,2024-01,,239.66220472440943,,59.54962406015038,13.38703125,25.95484375,39.140692307692305,636.1413533834586,,30.2062213740458,16.0,,92.91917293233082,,6.217857142857143,,22.561832061068703,0.9191304347826087,2026-04,190756,45,29.545769764216367,12.158755645721083,1
